job_posting_id,title,company,text,date,url
151639,[지주부문] Physical AI Expert 경력 채용,두산,"[VLA / Robot Foundation Model 연구 및 아키텍처 설계] - 최신 VLA 모델(RT-x, OpenVLA, Octo 등) 및 Multimodal LLM 아키텍처 리서치 및 내재화 - Vision, LLM, Action을 결합한 End-to-End 제어 모델 설계 및 구현 - Physical World 판단을 위한 Agentic AI 기반 추론(Reasoning) 및 계획(Planning) 개발 [Embodied AI 데이터 파이프라인 구축 및 학습 최적화] - 로봇 구동 데이터(Trajectory, Sensor)와 비전/언어 데이터 정렬(Alignment) 및 처리 프로세스 구축 - Sim-to-Real 연계를 위한 시뮬레이션 데이터 생성 적용 - VLA 모델 개선을 위한 Fine-tuning 및 경량화(Quantization/Distillation) 수행 [PoC 추진 및 현장 적용 시스템 구현] - 개발된 VLA 모델과 - 학력 : 컴퓨터공학, 로봇공학, 인공지능, 기계공학 등 관련 분야 학사 이상 (혹은 이에 준하는 실무 경력 보유자) - VLA/Multimodal 이해 : Transformer 기반 VLM(Vision Language Model) 또는 VLA 모델 구조에 대한 이해 - 개발 역량 : Python 및 Deep Learning Framework(PyTorch, JAX 등) 활용 역량 보유, 로봇 제어, Kinematics/Dynamics에 대한 지식 및 ROS/ROS2 미들웨어 사용 경험 보유 - 문제 해결 : 리서치 및 검증 역량, 빠른 신기술 학습 및 프로젝트 적용 경험 보유",2026.02.03,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=151639&infoTypeCd=OEW&infoTypeGroup=tb_workinfoopen
151961,AI 개발자,다날,"- 금융 거래 데이터를 활용한 모델 개발 및 고도화 - 데이터 수집·전처리, feature engineering, 모델 실험 설계 및 반복 학습 - RAG(Retrieval-Augmented Generation) 기반 AI 서비스 설계 및 운영 - 단일 서비스 단위를 넘어 전사 AI 플랫폼/에이전트 아키텍처 설계 - 2년 이상의 AI/데이터/백엔드 관련 실무 경험 또는 이에 준하는 프로젝트 경험 - Python 기반 ML/DL 개발 경험 - 데이터 기반 문제를 모델링 관점에서 정의하고 해결한 경험 - 모델의 성능뿐 아니라 운영 환경에서의 제약(속도, 비용, 안정성)을 고려할 수 있는 역량 - 새로운 도메인에 대한 빠른 학습 능력과 문제 해결력",2026.02.11,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=151961&infoTypeCd=OEW&infoTypeGroup=tb_workinfoopen
152033,[CTO] AI Scientist_음성인식/합성 경력채용,엘지유플러스,"- 음성 AI 핵심 기술(STT, TTS, 화자인식, 음성향상) 선행 연구 및 기술 검증 - 실시간 대화 환경을 고려한 음성 AI 모델 구조 및 추론 방식 연구 - 저지연·경량화·응답 안정성을 중심으로 한 음성 AI 기술 방향성 연구 - End-to-End Speech LLM 및 음성·멀티모달 파운데이션 모델 구조 연구 - 음성 신호 기반 이벤트 검출 기술(Sound Event Detection) 연구 - 대규모 음성·멀티모달 데이터 활용 전략 수립 및 연구 결과 공유 기술 문서, 리포트, 내부 세미나를 통한 연구 결과 공유 [전공] - 인공지능 관련 전공 [필수 사항] - 석사 이상 - 관련 직무 경력 2년 이상 석사~박사 경력 (24)개월",2026.02.05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=152033&infoTypeCd=OEW&infoTypeGroup=tb_workinfoopen
171097,AI 서비스 개발 전문연구요원 모집,주식회사 루트랩,"LLM 모델 활용 서비스 및 RAG 시스템 구축 AI Agent 시스템 구축 웹 플랫폼 연계 서비스 구축 Python 및 자바 기반 서비스 개발 가능하신 분 생성형 AI 관련 개발 경험(LLM 모델 활용, RAG 및 Fine-Tuning, Agent 구축 등)이 있으신 분 빅데이터 및 NLP 분야 경험이 있으신 분 새로운 기술 습득 및 활용에 흥미가 있고 도전이 가능하신 분 필수 사항 _ 자신을 잘 설명할 수 있는 포트폴리오 제출 머신러닝/딥러닝 라이브러리 활용 유경험자 Elasticsearch, MongoDB, Redis, Kafka 사용 유경험자 Kubernetes, Docker 등 컨테이너 환경에 대한 유경험자 데이터 파이프라인 개발 유경험자 AI 관련 서비스 기획 및 설계 유경험자",2026.01.26,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=00171097&infoTypeCd=PRD&infoTypeGroup=tb_workinfogubun
211562,AI Backend Engineer(대리~과장급),한화생명보험,"• Agent 기반 제품 설계 및 개발 • Agentic 아키텍처 등을 제품에 전략적으로 활용 • 기존 AI 서비스, LLMOps 운영 고도화 학력 : 대졸 학사 이상 경력 : 5년 이상의 유사 경력 보유자 전문지식 • 컴퓨터 공학, 소프트웨어 공학, 정보기술 또는 관련 분야에서 학사 학위 이상 • 백엔드 기술에 대한 깊은 이해와 경험 (Python, Java, Go, Node.js 등) • 다양한 데이터베이스 설계 및 관리 경험 (MySQL, Redis, elasticsearch 등) • AI 기반 서비스의 설계부터 개발, 운영까지 전 과정을 주도적으로 수행한 경험 • AI 모델 서빙 프레임워크(vllm, sglang, TensorRT-LLM 등) 활용 경험 • AI Agent 프레임워크(LangChain, LangGraph 등) 활용 경험 • 클라우드 서비스(AWS, Azure 등) 환경에서의 서비스 개발, 배포 및 운영 경험 • 컨테이너화 기술(Docker, Kubernetes 등) 및 마이크로서비스 아키텍처(MSA) 운영 경험 • 팀에서의 협업과 의사소통 능력이 탁월한 자 • 시스템 아키텍처 설계 및 구축 경험 • 금융업 설계/개발 및 운영 경험 • AI 모델 경량화 경험",2026.02.11,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=211562&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
215978,AI Engineer_생성형 AI Agent개발,제논,"• LLM, 멀티모달, 임베딩 모델을 활용하여 고객사의 요구에 맞춘 AI 기반 솔루션 개발/배포 • 다양한 인공지능 에이전트를 구축하여 고객사의 비즈니스 효율화를 지원 • LangChain, LangGraph와 같은 오픈소스 프레임워크를 활용하여 맞춤형 검색과 개인화 기능 최적화 • 고객사 문제 분석을 통한 맞춤형 RAG 기반 솔루션 설계, 데이터 검색과 생성형 응답을 결합한 고성능 AI 서비스 제공 • 대규모 데이터의 효율적 관리, 고객사 니즈에 맞는 분석과 보고서 생성을 자동화할 수 있는 AI 모델 설계 및 최적화 • 고객사와 협업하여 비즈니스에 직접적인 가치를 제공할 수 있는 AI 솔루션 기획/개발 • 컴퓨터공학 및 관련학과 석사 이상 혹은 학사+1년 이상의 경력 • LLM과 RAG 관련 기술에 대한 기본 지식과 실무 경험 보유 • LangChain, LangGraph와 같은 오픈소스 프레임워크를 활용한 AI 솔루션 개발 경험 • LLM 기반 에이전트(데이터 분석, 보고서 생성, 개인화) 개발 경험이나 이에 높은 이해도 보유 • 주요 AI 프레임워크 활용 가능자 ㄴ Python, PyTorch, TensorFlow, Langchain, Langraph, Rasa, Flowise, Langfuse • 비즈니스 문제를 해결하기 위한 고객 맞춤형 솔루션 설계 및 개발 역량 • 컴퓨터 공학 관련 석사/박사 학위 • 벡터 검색 및 RAG 솔루션에 대한 경험 • 대규모 AI 모델 및 데이터를 다루고 최적화한 경험 • Docker, Kubernetes 등 컨테이너 기술에 대한 경험 • LLM, 임베딩, 멀티모달 모델 학습을 위한 데이터셋 생성, 학습 및 배포 경험 • AI 모델을 비즈니스 환경에 통합하여 고객 경험 최적화 경험",2026.01.13,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=215978&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
216010,"[일자리매칭플랫폼] [Ncube] 신입/경력 모집 [AI개발 - 바이브코딩, Python, Unity] - 2월 16일 또는 3월 1일 입사가능자",(주)엔큐브,"ㆍAI서비스 연구 및 개발- 웹/앱 UX, AI에이전트, 멀티모달 등 ㆍ연관 기술 연구 및 실증 - 디지털트윈, 라이프로그, 빅데이터, 보안 등 ㆍAI기반 인터랙티브 콘첸트 연구 및 실증 - 월드모델, 메타버스 등 ㆍAI기술 트렌드 리서치 및 분석 - 최신모델 검증, 튜닝최적화등 ㆍ학력 : 대졸(4년제) 이상(예정자 가능) ㆍ경력 : 신입·경력 1~3년 ㆍ해당직무 기술학습 및 근무경험자 ㆍ직무관련 포트폴리오 첨부 필수 (AI개발 관련 포폴, 바이브코딩 결과물 가능) ㆍ직무관련 분야 전공자 [ 컴퓨터공학/시스템공학 등] ㆍ관련 자격증 보유자 - 정보처리기사 등 ㆍ관련 직무 경험자 우대 - 1년이상 ㆍ3D관련 프로젝트 경험자 우대 ㆍ멀티미디어 생성형 AI 경험자 우대 ㆍ아바타 생성 서비스 제작 경험자 우대 ㆍ리눅스/유닉스 기반 운영체제 활용능력 보유자 ㆍPyTorch기반 모델 학습 및 파인 튜닝 경험 보유 ㆍRAG기반 시스템 설계 및 구축 경험 보유",2026.02.13,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=216010&infoTypeCd=KOS&infoTypeGroup=tb_workinfogubun
226037,[독파모] AI Research Engineer - LLM Post-training,업스테이지,"• Reinforcement learning for LLM (math, code, general reasoning, tool use) • Efficient & effective reasoning • A scalable agentic tool use data synthesis pipeline • Language-specific reward models • Precise instruction following ** 기술의 흐름과 상황에 따라서 개발하는 프로젝트는 변화하며, 프로젝트는 각 시점에 LLM 모델 발전에 가장 영향력있는 기술 요소에 집중합니다. Strongly wanted • LLM post-training/fine-tuning을 수행하여 특정 문제에서 최고 성능을 달성해본 경험 • ML과 NLP 토픽으로 국제 학회에서 출판 기록 (1저자 혹은 교신저자) May helpful • AI 관련 연구 또는 프로덕트 개발을 리딩한 경험 • LLM Post-training을 위한 데이터 수집, 생성, 정제등을 수행해 본 경험 • 국제 혹은 국내 AI 대회 (Kaggle 등) 상위권 입상 • 0.1%의 성능에 민감하여 제한된 자원과 시간에 최적화를 수행할 수 있는 집중력 • 논리적인 사고실험을 수행하고 가설/검증의 방식으로 실험 설계 및 결과를 도출할 수 있는 사고력 • 레슨런을 효과적이고 효율적으로 전파하고 논의할 수 있는 의사소통 능력",2026.01.16,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=226037&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
254599,AI Backend Engineer,딥서치,"• 금융 전문가들이 유용하게 사용할 수 있는 AI 기반의 서비스를 개발해요. • LLM을 활용하여 RAG 기반으로 사용자에게 의미있는 데이터를 생성해요. • MCP, agent2agent와 같은 프로토콜에 맞는 API를 개발해요. • 국내/미국 시장 경제에 영향을 미치는 모든 데이터와 기업 데이터를 수집 및 가공해요. • 데이터를 효율적으로 수집할 수 있는 파이프라인을 구축해요. • 데이터를 클러스터링, 분석, 추천, 추측 알고리즘을 적용하여 사용자에게 제공해요. • 백엔드 서비스 개발 경험이 풍부한 분 (언어·프레임워크 무관) • 안정적이고 확장 가능한 데이터 수집 및 파이프라인 설계 경험이 있는 분 • 새로운 기술 및 방법을 빠르게 학습하는데 익숙하신 분 • 효율적이고 논리적인 커뮤니케이션을 잘 하시는 분 • 빠른 성장을 추구하는 분 • LLM을 활용한 서비스 개발·운영 경험 • Vector DB, OpenSearch 등 검색/추천 관련 경험 • 머신러닝 모델 빌드, 배포, 운영 경험 (자체 LLM self-hosting 경험 포함) • 금융(주식, 투자, 경제 등) 도메인에 대한 높은 이해도가 있으신 분 • 스타트업 환경에서 서비스 스케일업을 성공적으로 이끈 경험 • AI 도구 및 툴 사용에 능숙하신 분",2026.01.20,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=254599&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
259098,AI Research Engineer,나니아랩스,"1. 생성/예측/최적화 AI 연구 AslanX에 탑재되는 SOTA AI 모델을 연구하고 개발합니다. • 3D 데이터 기반 생성/예측/최적화 AI 모델 • 2D 데이터 기반 생성/예측/최적화 AI 모델 • 1D 데이터 기반 예측/최적화 AI 모델 • 제조 가능하고 수정 가능한 CAD 생성 모델 • Multi-fidelity 모델 • 최적설계 기술 • 엔지니어링 데이터 전/후처리 기술 2. Agentic AI 기반 설계 연구 Agentic AI 기반 자율설계를 위한 요소 기술들을 연구하고 구현합니다. • CAE 해석 자동화 Agent • Multi-Agent System 기반 설계 자동화 • LLM 및 온톨로지 연구 • AI 관련 연구를 하신 석사 및 박사 또는 관련 기업 경험(2년 이상)을 보유하신 분 • 기계공학, 컴퓨터공학, 전자공학, 산업공학, 통계학, AI 등 관련 전공자 혹은 그에 준하는 실력을 갖추신 분 • AI를 이용한 제조 및 엔지니어링 문제 해결에 관심이 있는 분 • 새로운 기술을 빠르게 습득하고 전파하시는 분 • 우수한 커뮤니케이션 및 팀워크 능력을 갖추신 분 • 병역특례 지원 가능해요! • 엔지니어링 분야 AI 연구 수행 경험 • CAD, CAE, CAM, 최적설계 등 공학설계 영역의 경험 • 다양한 역학 분야(구조, 동역학, 열전달, 전자기, 유체 등)의 지식이 있으신 분 • 기계공학 학부를 하시고, 석사 또는 박사학위 동안 AI를 연구하신 분 • 3D 데이터와 LLM 관련 연구 경험이 있으신 분",2026.02.11,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=259098&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
